step,action,balance,position
31,1,10000.0,1
32,1,10000.0,1
33,1,10000.0,1
34,2,9696.6015625,0
35,1,9696.6015625,1
36,1,9696.6015625,1
37,1,9696.6015625,1
38,0,9696.6015625,1
39,0,9696.6015625,1
40,0,9696.6015625,1
41,0,9696.6015625,1
42,1,9696.6015625,1
43,1,9696.6015625,1
44,2,9220.5546875,0
45,1,9220.5546875,1
46,2,9171.4296875,0
47,2,9171.4296875,0
48,1,9171.4296875,1
49,1,9171.4296875,1
50,1,9171.4296875,1
51,1,9171.4296875,1
52,1,9171.4296875,1
53,1,9171.4296875,1
54,1,9171.4296875,1
55,1,9171.4296875,1
56,1,9171.4296875,1
57,2,11170.8046875,0
58,2,11170.8046875,0
59,1,11170.8046875,1
60,0,11170.8046875,1
61,1,11170.8046875,1
62,1,11170.8046875,1
63,1,11170.8046875,1
64,1,11170.8046875,1
65,1,11170.8046875,1
66,1,11170.8046875,1
67,1,11170.8046875,1
68,1,11170.8046875,1
69,1,11170.8046875,1
70,1,11170.8046875,1
71,1,11170.8046875,1
72,1,11170.8046875,1
73,1,11170.8046875,1
74,1,11170.8046875,1
75,1,11170.8046875,1
76,1,11170.8046875,1
77,2,10902.9375,0
78,0,10902.9375,0
79,2,10902.9375,0
80,2,10902.9375,0
81,1,10902.9375,1
82,1,10902.9375,1
83,2,10404.4921875,0
84,0,10404.4921875,0
85,0,10404.4921875,0
86,1,10404.4921875,1
87,1,10404.4921875,1
88,2,9306.40625,0
89,1,9306.40625,1
90,2,9111.671875,0
91,1,9111.671875,1
92,1,9111.671875,1
93,1,9111.671875,1
94,2,10298.203125,0
95,1,10298.203125,1
96,1,10298.203125,1
97,1,10298.203125,1
98,1,10298.203125,1
99,1,10298.203125,1
100,1,10298.203125,1
101,1,10298.203125,1
102,2,6331.0703125,0
103,2,6331.0703125,0
104,1,6331.0703125,1
105,2,5022.09375,0
106,0,5022.09375,0
107,1,5022.09375,1
108,1,5022.09375,1
109,2,5553.8515625,0
110,2,5553.8515625,0
111,1,5553.8515625,1
112,0,5553.8515625,1
113,1,5553.8515625,1
114,1,5553.8515625,1
115,0,5553.8515625,1
116,1,5553.8515625,1
117,1,5553.8515625,1
118,1,5553.8515625,1
119,2,6202.0859375,0
120,1,6202.0859375,1
121,1,6202.0859375,1
122,1,6202.0859375,1
123,2,5835.0,0
124,2,5835.0,0
125,1,5835.0,1
126,1,5835.0,1
127,2,6005.6171875,0
128,2,6005.6171875,0
129,2,6005.6171875,0
130,1,6005.6171875,1
131,1,6005.6171875,1
132,1,6005.6171875,1
133,1,6005.6171875,1
134,1,6005.6171875,1
135,1,6005.6171875,1
136,1,6005.6171875,1
137,1,6005.6171875,1
138,1,6005.6171875,1
139,2,3948.2265625,0
140,0,3948.2265625,0
141,1,3948.2265625,1
142,2,3061.4921875,0
143,1,3061.4921875,1
144,1,3061.4921875,1
145,0,3061.4921875,1
146,2,2806.4140625,0
147,1,2806.4140625,1
148,1,2806.4140625,1
149,1,2806.4140625,1
150,1,2806.4140625,1
151,0,2806.4140625,1
152,1,2806.4140625,1
153,1,2806.4140625,1
154,1,2806.4140625,1
155,2,3538.9375,0
156,1,3538.9375,1
157,1,3538.9375,1
158,1,3538.9375,1
159,1,3538.9375,1
160,2,4556.9375,0
161,2,4556.9375,0
162,2,4556.9375,0
163,1,4556.9375,1
164,1,4556.9375,1
165,2,4694.09375,0
166,0,4694.09375,0
167,1,4694.09375,1
168,1,4694.09375,1
169,1,4694.09375,1
170,1,4694.09375,1
171,2,4181.5078125,0
172,2,4181.5078125,0
173,2,4181.5078125,0
174,2,4181.5078125,0
175,1,4181.5078125,1
176,1,4181.5078125,1
177,2,3735.8046875,0
178,1,3735.8046875,1
179,2,3990.375,0
180,1,3990.375,1
181,2,4268.296875,0
182,1,4268.296875,1
183,0,4268.296875,1
184,1,4268.296875,1
185,1,4268.296875,1
186,1,4268.296875,1
187,2,3769.8203125,0
188,1,3769.8203125,1
189,1,3769.8203125,1
190,0,3769.8203125,1
191,1,3769.8203125,1
192,0,3769.8203125,1
193,1,3769.8203125,1
194,0,3769.8203125,1
195,1,3769.8203125,1
196,2,2722.3515625,0
197,1,2722.3515625,1
198,0,2722.3515625,1
199,1,2722.3515625,1
200,1,2722.3515625,1
201,0,2722.3515625,1
202,1,2722.3515625,1
203,1,2722.3515625,1
204,1,2722.3515625,1
205,1,2722.3515625,1
206,2,744.13671875,0
207,1,744.13671875,1
208,1,744.13671875,1
209,1,744.13671875,1
210,0,744.13671875,1
211,1,744.13671875,1
212,1,744.13671875,1
213,2,1801.36328125,0
214,1,1801.36328125,1
215,2,485.70703125,0
216,0,485.70703125,0
217,2,485.70703125,0
218,1,485.70703125,1
219,1,485.70703125,1
220,2,-16.62109375,0
221,1,-16.62109375,1
222,1,-16.62109375,1
223,1,-16.62109375,1
224,1,-16.62109375,1
225,1,-16.62109375,1
226,1,-16.62109375,1
227,1,-16.62109375,1
228,1,-16.62109375,1
229,1,-16.62109375,1
230,1,-16.62109375,1
231,1,-16.62109375,1
232,0,-16.62109375,1
233,2,1422.55859375,0
234,1,1422.55859375,1
235,1,1422.55859375,1
236,1,1422.55859375,1
237,0,1422.55859375,1
238,1,1422.55859375,1
239,0,1422.55859375,1
240,1,1422.55859375,1
241,1,1422.55859375,1
242,0,1422.55859375,1
243,1,1422.55859375,1
244,1,1422.55859375,1
245,1,1422.55859375,1
246,1,1422.55859375,1
247,1,1422.55859375,1
248,1,1422.55859375,1
249,1,1422.55859375,1
250,2,4087.23046875,0
251,1,4087.23046875,1
252,1,4087.23046875,1
253,1,4087.23046875,1
254,1,4087.23046875,1
255,1,4087.23046875,1
256,1,4087.23046875,1
257,1,4087.23046875,1
258,0,4087.23046875,1
259,1,4087.23046875,1
260,0,4087.23046875,1
261,1,4087.23046875,1
262,0,4087.23046875,1
263,1,4087.23046875,1
264,1,4087.23046875,1
265,2,2864.76953125,0
266,2,2864.76953125,0
267,1,2864.76953125,1
268,1,2864.76953125,1
269,1,2864.76953125,1
270,1,2864.76953125,1
271,1,2864.76953125,1
272,1,2864.76953125,1
273,1,2864.76953125,1
274,1,2864.76953125,1
275,1,2864.76953125,1
276,1,2864.76953125,1
277,1,2864.76953125,1
278,2,78.12890625,0
279,0,78.12890625,0
280,1,78.12890625,1
281,0,78.12890625,1
282,0,78.12890625,1
283,1,78.12890625,1
284,1,78.12890625,1
285,1,78.12890625,1
286,1,78.12890625,1
287,2,-777.578125,0
288,1,-777.578125,1
289,1,-777.578125,1
290,1,-777.578125,1
291,1,-777.578125,1
292,1,-777.578125,1
293,1,-777.578125,1
294,1,-777.578125,1
295,1,-777.578125,1
296,1,-777.578125,1
297,0,-777.578125,1
298,1,-777.578125,1
299,2,-14.35546875,0
300,0,-14.35546875,0
301,1,-14.35546875,1
302,0,-14.35546875,1
303,2,515.99609375,0
304,1,515.99609375,1
305,1,515.99609375,1
306,2,1067.0703125,0
307,0,1067.0703125,0
308,1,1067.0703125,1
309,0,1067.0703125,1
310,1,1067.0703125,1
311,1,1067.0703125,1
312,2,245.56640625,0
313,1,245.56640625,1
314,1,245.56640625,1
315,1,245.56640625,1
316,1,245.56640625,1
317,0,245.56640625,1
318,1,245.56640625,1
319,1,245.56640625,1
320,1,245.56640625,1
321,2,911.42578125,0
322,1,911.42578125,1
323,1,911.42578125,1
324,2,1305.76953125,0
325,2,1305.76953125,0
326,1,1305.76953125,1
327,1,1305.76953125,1
328,1,1305.76953125,1
329,2,1224.9140625,0
330,1,1224.9140625,1
331,1,1224.9140625,1
332,2,1708.69140625,0
333,1,1708.69140625,1
334,1,1708.69140625,1
335,1,1708.69140625,1
336,0,1708.69140625,1
337,1,1708.69140625,1
338,1,1708.69140625,1
339,1,1708.69140625,1
340,1,1708.69140625,1
341,1,1708.69140625,1
342,2,2998.73828125,0
343,2,2998.73828125,0
344,1,2998.73828125,1
345,1,2998.73828125,1
346,0,2998.73828125,1
347,1,2998.73828125,1
348,2,2969.78515625,0
349,0,2969.78515625,0
350,1,2969.78515625,1
351,2,4313.81640625,0
352,1,4313.81640625,1
353,1,4313.81640625,1
354,0,4313.81640625,1
355,1,4313.81640625,1
356,2,5554.55859375,0
357,1,5554.55859375,1
358,2,4531.61328125,0
359,0,4531.61328125,0
360,1,4531.61328125,1
361,2,4465.52734375,0
362,1,4465.52734375,1
363,1,4465.52734375,1
364,0,4465.52734375,1
365,2,4824.37890625,0
366,2,4824.37890625,0
367,1,4824.37890625,1
368,2,4761.23046875,0
369,1,4761.23046875,1
370,1,4761.23046875,1
371,1,4761.23046875,1
372,2,4786.30078125,0
373,0,4786.30078125,0
374,1,4786.30078125,1
375,2,4671.59765625,0
376,1,4671.59765625,1
377,1,4671.59765625,1
378,0,4671.59765625,1
379,1,4671.59765625,1
380,2,3995.54296875,0
381,1,3995.54296875,1
382,1,3995.54296875,1
383,2,4435.34765625,0
384,0,4435.34765625,0
385,1,4435.34765625,1
386,1,4435.34765625,1
387,2,4373.37109375,0
388,2,4373.37109375,0
389,1,4373.37109375,1
390,2,4702.36328125,0
391,1,4702.36328125,1
392,1,4702.36328125,1
393,1,4702.36328125,1
394,1,4702.36328125,1
395,1,4702.36328125,1
396,1,4702.36328125,1
397,1,4702.36328125,1
398,1,4702.36328125,1
399,1,4702.36328125,1
400,1,4702.36328125,1
401,0,4702.36328125,1
402,0,4702.36328125,1
403,1,4702.36328125,1
404,1,4702.36328125,1
405,1,4702.36328125,1
406,1,4702.36328125,1
407,1,4702.36328125,1
408,0,4702.36328125,1
409,1,4702.36328125,1
410,1,4702.36328125,1
411,2,3464.02734375,0
412,2,3464.02734375,0
413,1,3464.02734375,1
414,1,3464.02734375,1
415,1,3464.02734375,1
416,2,4188.05078125,0
417,0,4188.05078125,0
418,1,4188.05078125,1
419,1,4188.05078125,1
420,1,4188.05078125,1
421,1,4188.05078125,1
422,1,4188.05078125,1
423,1,4188.05078125,1
424,1,4188.05078125,1
425,2,4244.26171875,0
426,1,4244.26171875,1
427,1,4244.26171875,1
428,1,4244.26171875,1
429,2,4180.29296875,0
430,1,4180.29296875,1
431,1,4180.29296875,1
432,1,4180.29296875,1
433,2,4075.73046875,0
434,1,4075.73046875,1
435,2,3891.37890625,0
436,2,3891.37890625,0
437,2,3891.37890625,0
438,1,3891.37890625,1
439,1,3891.37890625,1
440,1,3891.37890625,1
441,1,3891.37890625,1
442,1,3891.37890625,1
443,1,3891.37890625,1
444,1,3891.37890625,1
445,0,3891.37890625,1
446,2,4130.72265625,0
447,2,4130.72265625,0
448,1,4130.72265625,1
449,1,4130.72265625,1
450,1,4130.72265625,1
451,1,4130.72265625,1
452,2,4598.38671875,0
453,2,4598.38671875,0
454,1,4598.38671875,1
455,1,4598.38671875,1
456,1,4598.38671875,1
457,1,4598.38671875,1
458,1,4598.38671875,1
459,0,4598.38671875,1
460,1,4598.38671875,1
461,0,4598.38671875,1
462,1,4598.38671875,1
463,1,4598.38671875,1
464,1,4598.38671875,1
465,1,4598.38671875,1
466,1,4598.38671875,1
467,2,5214.41796875,0
468,1,5214.41796875,1
469,1,5214.41796875,1
470,1,5214.41796875,1
471,1,5214.41796875,1
472,1,5214.41796875,1
473,0,5214.41796875,1
474,1,5214.41796875,1
475,1,5214.41796875,1
476,1,5214.41796875,1
477,2,4883.76171875,0
478,0,4883.76171875,0
479,1,4883.76171875,1
480,1,4883.76171875,1
481,1,4883.76171875,1
482,1,4883.76171875,1
483,0,4883.76171875,1
484,0,4883.76171875,1
485,2,5263.80859375,0
486,1,5263.80859375,1
487,1,5263.80859375,1
488,1,5263.80859375,1
489,0,5263.80859375,1
490,2,5180.11328125,0
491,2,5180.11328125,0
492,1,5180.11328125,1
493,1,5180.11328125,1
494,1,5180.11328125,1
495,1,5180.11328125,1
496,0,5180.11328125,1
497,2,5271.75390625,0
498,2,5271.75390625,0
499,1,5271.75390625,1
500,1,5271.75390625,1
501,0,5271.75390625,1
502,2,5199.70703125,0
503,1,5199.70703125,1
504,0,5199.70703125,1
505,1,5199.70703125,1
506,1,5199.70703125,1
507,1,5199.70703125,1
508,1,5199.70703125,1
509,0,5199.70703125,1
510,1,5199.70703125,1
511,1,5199.70703125,1
512,1,5199.70703125,1
513,0,5199.70703125,1
514,1,5199.70703125,1
515,1,5199.70703125,1
516,1,5199.70703125,1
517,2,4062.49609375,0
518,1,4062.49609375,1
519,1,4062.49609375,1
520,0,4062.49609375,1
521,0,4062.49609375,1
522,0,4062.49609375,1
523,1,4062.49609375,1
524,2,3918.51171875,0
525,2,3918.51171875,0
526,1,3918.51171875,1
527,1,3918.51171875,1
528,0,3918.51171875,1
529,1,3918.51171875,1
530,1,3918.51171875,1
531,1,3918.51171875,1
532,1,3918.51171875,1
533,2,921.71484375,0
534,2,921.71484375,0
535,1,921.71484375,1
536,0,921.71484375,1
537,0,921.71484375,1
538,1,921.71484375,1
539,1,921.71484375,1
540,2,-549.81640625,0
541,1,-549.81640625,1
542,1,-549.81640625,1
543,1,-549.81640625,1
544,1,-549.81640625,1
545,2,-290.8203125,0
546,1,-290.8203125,1
547,1,-290.8203125,1
548,1,-290.8203125,1
549,1,-290.8203125,1
550,2,-154.296875,0
551,1,-154.296875,1
552,1,-154.296875,1
553,1,-154.296875,1
554,1,-154.296875,1
555,2,-26.4296875,0
556,2,-26.4296875,0
557,1,-26.4296875,1
558,1,-26.4296875,1
559,2,-16.671875,0
560,1,-16.671875,1
561,1,-16.671875,1
562,1,-16.671875,1
563,2,8.3515625,0
564,2,8.3515625,0
565,1,8.3515625,1
566,1,8.3515625,1
567,1,8.3515625,1
568,1,8.3515625,1
569,2,354.96875,0
570,1,354.96875,1
571,1,354.96875,1
572,2,285.578125,0
573,1,285.578125,1
574,1,285.578125,1
575,1,285.578125,1
576,1,285.578125,1
577,0,285.578125,1
578,1,285.578125,1
579,2,377.3671875,0
580,1,377.3671875,1
581,1,377.3671875,1
582,1,377.3671875,1
583,1,377.3671875,1
584,1,377.3671875,1
585,1,377.3671875,1
586,2,1027.8984375,0
587,1,1027.8984375,1
588,1,1027.8984375,1
589,0,1027.8984375,1
